city,NDVI,NDBI,Rainfall,Temperature,latitude,longitude,AQI,Livability
Jodhpur,0.2403130547510724,0.0124273384493161,511.388213433382,32.686196573061125,26.2967719,73.0351433,4,20.93
Madurai,0.3679208976687506,-0.0973297491493614,1016.2425250312834,34.193992488391416,9.9261153,78.1140983,3,39.31
Raipur,0.2893427191885168,-0.0418773053427,1428.567838241718,33.04011694795139,21.2380912,81.6336993,2,44.93
Kota,0.2801757872989933,-0.0102443014392403,649.0780669423635,32.07863402438426,25.1737019,75.8574194,3,29.24
Guwahati,0.3218670080580729,-0.1008645879831223,1429.2358461569202,27.41803829979301,26.1805978,91.753943,3,44.33
Chandigarh,0.4025198016786753,-0.1015366382312498,1372.259287730896,27.97101614260839,30.7334421,76.7797143,4,41.99
Solapur,0.4315781062166927,-0.119950998845801,567.2599269823829,34.27874930476452,17.8499067,75.2763203,3,40.56
Hubli,0.3165312689107122,0.065079018784995,512.8453476799247,35.39179046643778,15.3518378,75.1379848,3,25.32
Mysore,0.3322615449532856,-0.0481991697941527,669.3903414798812,32.52326513078248,12.3051828,76.6553609,4,27.77
Tiruchirappalli,0.3561511089764517,-0.0643553548649893,1085.391008450157,34.35536331968194,10.8071144,78.6880939,2,46.75
Bareilly,0.4028927391452202,-0.0935011685015511,1088.4652802774988,28.809117126954103,28.4582345,79.4047452,5,34.54
Aligarh,0.345544465576868,-0.1074399307853178,833.8559733821772,29.317688444221915,27.8761073,78.1358153,5,28.58
Tiruppur,0.2519145463110231,0.0083341521153083,649.9237339966935,36.96282994705268,10.7915267,77.5325466,4,21.34
Moradabad,0.4096122299183631,-0.1086013459978783,1155.8658706376093,27.70001899498294,28.8796553,78.8095335,5,36.38
Jalandhar,0.3802601854066684,-0.1121323533844404,998.2796388470188,28.28092363804785,31.2922312,75.5678878,4,37.73
Bhubaneswar,0.3905469011657999,-0.069587759946918,1425.2714107967051,31.470941062280303,20.2602964,85.8394521,2,50.5
Salem,0.2239216245533919,-0.2231961063977955,936.4027843563608,19.94931561968337,11.6469616,78.2106958,2,49.61
Warangal,0.3874981865891385,-0.0789235912496827,968.9282648775288,32.777361209195305,17.9820644,79.5970954,1,49.82
